Date,Open,High,Low,Close,Volume
2016-12-15,15826,16402,15275,15952,121867.0
2016-12-16,16026,16202,15826,16077,60990.0
2016-12-19,15951,16227,15926,15952,17501.0
2016-12-20,15575,16001,15575,15776,15929.0
2016-12-21,15676,15951,15601,15626,10451.0
2016-12-22,15651,15826,15626,15676,4592.0
2016-12-23,15676,15876,15525,15551,17420.0
2016-12-26,15575,15751,15575,15676,9668.0
2016-12-27,15651,15926,15651,15902,5926.0
2016-12-28,15801,17278,15801,16678,35229.0
2016-12-29,16777,16903,16602,16878,9861.0
2017-01-02,16978,17253,16602,16778,6669.0
2017-01-03,16727,16777,16502,16628,4951.0
2017-01-04,16627,16752,16427,16703,4247.0
2017-01-05,16677,17028,16627,16728,3836.0
2017-01-06,16702,16727,16477,16628,2161.0
2017-01-09,16627,16627,16252,16402,1813.0
2017-01-10,16277,16352,15876,16352,7675.0
2017-01-11,15951,16277,15851,15952,8222.0
2017-01-12,15876,16001,15250,15376,22579.0
2017-01-13,15676,15676,15375,15426,3755.0
2017-01-16,15525,15525,15125,15376,20686.0
2017-01-17,15375,15425,15150,15351,4341.0
2017-01-18,15450,15550,15375,15451,2295.0
2017-01-19,15375,15575,15275,15451,1532.0
2017-01-20,15550,15550,15250,15351,2046.0
2017-01-23,15250,15275,15000,15125,8910.0
2017-01-24,15025,15400,14874,15275,8152.0
2017-01-25,15150,15475,15050,15200,3119.0
2017-01-26,15400,15450,15275,15326,1600.0
2017-01-31,15325,15425,15175,15326,701.0
2017-02-01,15325,15375,15175,15326,2120.0
2017-02-02,15225,15400,15175,15301,990.0
2017-02-03,15125,15200,14924,15050,9533.0
2017-02-06,15200,15250,14799,15175,5304.0
2017-02-07,15250,15300,14924,15125,1260.0
2017-02-08,15300,15300,15100,15175,3059.0
2017-02-09,15275,15325,15125,15275,3345.0
2017-02-10,15275,15475,15150,15275,935.0
2017-02-13,15125,15626,15125,15376,3375.0
2017-02-14,15300,15525,15300,15476,3959.0
2017-02-15,15475,15776,15375,15776,11856.0
2017-02-16,15751,15926,15601,15676,2837.0
2017-02-17,15951,15951,15225,15301,15786.0
2017-02-20,15200,15350,15050,15050,15615.0
2017-02-21,15050,15075,14949,15075,7337.0
2017-02-22,15275,15275,15025,15025,4373.0
2017-02-23,15075,15175,14874,14975,13185.0
2017-02-24,14874,15250,14874,15025,9720.0
2017-02-27,14924,15200,14924,14975,6456.0
2017-02-28,14924,15025,14874,15000,9075.0
2017-03-02,15050,15150,14700,14900,7331.0
