Date,Open,High,Low,Close,Volume
2022-12-05,1985,1995,1980,1995,476937
2022-12-06,2000,2000,1990,2000,100525
2022-12-07,2000,2005,1995,1995,111542
2022-12-08,1995,2000,1990,1995,126955
2022-12-09,1995,2000,1995,1995,30202
2022-12-12,2000,2000,1990,1995,73576
2022-12-13,1995,2000,1985,2000,115819
2022-12-14,2000,2000,1995,2000,56393
2022-12-15,2000,2000,1990,2000,68475
2022-12-16,1995,2000,1995,2000,12529
2022-12-19,2000,2005,1995,2000,16092
2022-12-20,2005,2005,1995,2005,39282
2022-12-21,2000,2005,2000,2000,2959
2022-12-22,2000,2010,1995,1995,58156
2022-12-23,2000,2010,2000,2010,27406
2022-12-26,2000,2015,2000,2015,45675
2022-12-27,2010,2025,2010,2025,29117
2022-12-28,2025,2030,2020,2025,18141
