Date,Open,High,Low,Close,Volume
2020-09-24,16422,16422,13433,14676,4556054
2020-09-25,15011,15431,14121,14273,1229936
2020-09-28,14625,14877,14340,14424,526358
2020-09-29,14642,14944,14323,14508,450725
2020-10-05,14507,14642,14071,14155,519977
2020-10-06,14306,15011,14289,14659,619018
2020-10-07,14541,15700,14507,15583,722328
2020-10-08,15733,16556,15733,16019,633340
2020-10-12,16019,16203,15549,15633,192310
2020-10-13,15767,15834,14944,15129,312606
2020-10-14,15112,15112,14440,14575,313288
2020-10-15,14743,14743,14071,14592,203849
2020-10-16,14625,15246,14323,14861,269146
2020-10-19,14994,15028,14575,14609,127552
2020-10-20,14407,14894,14289,14844,196610
2020-10-21,14910,15078,14759,14945,107622
2020-10-22,14877,15179,14793,14995,148717
2020-10-23,15045,15414,14877,15314,233319
2020-10-26,15313,15330,14474,14491,245084
2020-10-27,14289,14726,14272,14458,116716
2020-10-28,14608,14608,14390,14558,110567
2020-10-29,14172,14524,14155,14458,98543
2020-10-30,14541,14591,14272,14357,113021
2020-11-02,14356,14608,14256,14441,100637
2020-11-03,14390,14608,14340,14474,128564
2020-11-04,14491,15716,14272,14945,500039
2020-11-05,15162,16321,14978,15734,912090
2020-11-06,16086,16220,15112,15247,729945
2020-11-09,15565,15649,15196,15314,344595
2020-11-10,15364,15364,14894,15213,234203
2020-11-11,15263,15297,14776,14777,182174
2020-11-12,14776,15095,14675,14911,151421
2020-11-13,14978,15431,14692,14911,193091
2020-11-16,15112,15985,14810,15935,506104
2020-11-17,15364,15632,14776,14810,538129
2020-11-18,14843,14961,14407,14642,295755
2020-11-19,14709,15011,14524,14592,309431
2020-11-20,14726,14743,14524,14659,162108
2020-11-23,14692,14877,14659,14726,171946
2020-11-24,14810,14826,14608,14642,159493
2020-11-25,14776,14776,14390,14508,167640
2020-11-26,14692,15884,14575,15112,1442855
2020-11-27,15028,15078,14625,14726,366424
2020-11-30,14709,14726,14524,14558,181969
2020-12-01,14474,14675,14474,14508,143289
2020-12-02,14608,14692,14474,14558,199501
2020-12-03,14675,14675,14474,14508,154271
2020-12-04,14608,14642,14474,14491,216715
2020-12-07,14608,14843,14507,14508,345164
2020-12-08,14558,14625,14423,14441,201696
2020-12-09,14541,14575,14440,14542,104433
2020-12-10,14474,14743,14474,14592,147970
2020-12-11,14743,14961,14524,14525,281861
2020-12-14,14625,15313,14541,14911,740879
2020-12-15,15146,15448,14743,14743,462600
2020-12-16,14894,15112,14810,14810,230422
2020-12-17,14944,15129,14826,14978,220015
2020-12-18,15112,15112,14776,14844,193388
2020-12-21,15028,19276,14877,18739,9732408
2020-12-22,18403,18605,16791,16960,2313186
2020-12-23,17396,17664,16388,16523,1702693
2020-12-24,16321,16590,15884,16086,814374
2020-12-28,16287,16321,15918,16019,503883
2020-12-29,15582,16103,15549,15986,510615
2020-12-30,15851,16640,15817,16489,902856
2021-01-04,16489,16489,15985,16070,469693
2021-01-05,16069,16388,15868,16221,433556
2021-01-06,16405,16472,16086,16221,311894
2021-01-07,16237,16674,16237,16271,422193
2021-01-08,16338,16405,15817,16070,377558
2021-01-11,16153,16153,15213,15213,488265
2021-01-12,15364,15716,15229,15465,270990
2021-01-13,15498,15733,15481,15616,136101
2021-01-14,15532,15616,15381,15415,137223
2021-01-15,15582,15616,15414,15532,134913
2021-01-18,15414,15515,15179,15247,158240
2021-01-19,15213,15381,14961,15280,155831
2021-01-20,15481,15532,15313,15364,118887
2021-01-21,15414,15683,15414,15583,195648
2021-01-22,15683,16674,15666,16170,777153
2021-01-25,16271,16556,16086,16506,442668
2021-01-26,16606,16623,16220,16338,223338
2021-01-27,16371,16489,16187,16288,155232
2021-01-28,16052,16119,15767,15868,198147
2021-01-29,15884,16069,15078,15448,254943
2021-02-01,15213,15632,15112,15599,146990
2021-02-02,15700,15884,15465,15683,87410
2021-02-03,15649,15952,15599,15734,118961
2021-02-04,15632,17463,15448,16741,1986290
2021-02-05,16388,16573,16086,16187,366177
2021-02-08,16069,16086,15767,15834,173920
2021-02-09,15834,16304,15817,16288,170383
2021-02-10,16338,16539,16287,16389,222444
2021-02-15,15985,16220,15817,16137,180951
2021-02-16,16119,16506,16119,16271,172702
2021-02-17,16506,17463,16422,17396,1073769
2021-02-18,17631,17664,16959,17430,712100
2021-02-19,17429,17429,15784,17060,531197
2021-02-22,17127,17161,16556,16557,241639
2021-02-23,16321,17832,16069,16523,648300
2021-02-24,16657,16657,15868,15952,198310
2021-02-25,16187,16388,16002,16389,150623
2021-02-26,15952,16388,15884,16120,175385
2021-03-02,16321,16422,15952,16086,127084
2021-03-03,15985,16203,15952,16053,75833
2021-03-04,15884,16774,15868,16338,196047
2021-03-05,16153,16271,15935,16271,100312
2021-03-08,16287,16422,15985,15986,88413
2021-03-09,15952,16035,15448,15868,108429
2021-03-10,15918,16136,15784,16137,95220
2021-03-11,16556,16623,15952,16086,195485
2021-03-12,16254,16254,15952,16019,137679
2021-03-15,15985,15985,15750,15767,119578
2021-03-16,15716,15767,15498,15633,153339
2021-03-17,15632,15716,15414,15482,109159
2021-03-18,15649,15750,15565,15583,82482
2021-03-19,15381,15700,15364,15583,51987
2021-03-22,15582,15683,15481,15499,53548
2021-03-23,15381,15649,15364,15364,110743
2021-03-24,15347,15347,15129,15264,105996
2021-03-25,15263,15397,15146,15146,68138
2021-03-26,15179,15280,15146,15213,61194
2021-03-29,15364,15364,15062,15213,86338
2021-03-30,15229,15297,15146,15163,72122
2021-03-31,15162,15213,15062,15213,68126
2021-04-01,15246,15498,15213,15398,87990
2021-04-02,15431,15498,15146,15348,58285
2021-04-05,15414,15431,15129,15180,74010
2021-04-06,15297,15297,14961,14978,99907
2021-04-07,14978,15095,14978,15028,60792
2021-04-08,15146,15146,14994,15062,50379
2021-04-09,15045,15112,15011,15062,69490
2021-04-12,15649,15817,15280,15482,315247
2021-04-13,15481,16153,15481,15918,382090
2021-04-14,15918,16136,15800,15935,153514
2021-04-15,15935,16035,15750,15784,65714
2021-04-16,15935,16052,15767,15868,85465
2021-04-19,15952,16187,15952,16120,131789
2021-04-20,16220,16573,16187,16422,356592
2021-04-21,16539,16590,16153,16204,172247
2021-04-22,16271,16287,16119,16154,90652
2021-04-23,16304,16640,16271,16422,299840
2021-04-26,16539,16606,16321,16473,176946
2021-04-27,16472,16472,16035,16103,132167
2021-04-28,16220,16220,15683,15717,159663
2021-04-29,15666,16052,15532,15616,107837
2021-04-30,15532,15784,15498,15599,64720
2021-05-03,15632,15968,15632,15801,74403
2021-05-04,15784,15901,15565,15751,62299
2021-05-06,15666,15935,15616,15818,50287
2021-05-07,15952,15952,15716,15801,49977
2021-05-10,15834,15918,15666,15767,64711
2021-05-11,15565,15700,15481,15583,75386
2021-05-12,15532,15599,15246,15314,76711
2021-05-13,15112,15246,14944,15163,74287
2021-05-14,15280,15414,15162,15297,34624
2021-05-17,15280,15280,14978,15045,74504
2021-05-18,14994,15448,14994,15314,36483
2021-05-20,15313,15364,15229,15280,31087
2021-05-21,15347,15800,15280,15616,125646
2021-05-24,15817,15834,15313,15314,63508
2021-05-25,15313,15414,15112,15180,70083
2021-05-26,15146,15263,15112,15146,33984
2021-05-27,15146,15246,15112,15180,25959
2021-05-28,15297,15498,15179,15364,36396
2021-05-31,15465,15465,15229,15331,40112
2021-06-01,15364,15414,15246,15415,51270
2021-06-02,15448,15465,15263,15348,42259
2021-06-03,15347,15481,15229,15415,73165
2021-06-04,15414,15515,15263,15381,34362
2021-06-07,15246,15431,15246,15364,42882
2021-06-08,15381,15381,15196,15247,43814
2021-06-09,15280,15313,15112,15163,69020
2021-06-10,15162,15263,15129,15247,21841
2021-06-11,15246,15297,15095,15163,44519
2021-06-14,15162,15162,15045,15146,40166
2021-06-15,15162,15229,15028,15096,34958
2021-06-16,15095,15280,15062,15247,43459
2021-06-17,15179,15347,15112,15247,52571
2021-06-18,15280,15347,15179,15264,44850
2021-06-21,15112,15280,15078,15180,44338
2021-06-22,15246,15263,15129,15196,32921
2021-06-23,15246,15246,15062,15079,36768
2021-06-24,15129,15263,15028,15112,43278
2021-06-25,15095,15246,15095,15146,21773
2021-06-28,15129,15246,15129,15247,45231
2021-06-29,15179,15246,15062,15062,67992
2021-06-30,15129,15146,15045,15096,25840
2021-07-01,15112,15112,14961,15062,51207
2021-07-02,15011,15229,15011,15213,52071
2021-07-05,15146,15196,15078,15146,27469
2021-07-06,15146,15179,15062,15112,39439
2021-07-07,15095,15498,15095,15415,187350
2021-07-08,15481,15481,15112,15129,89479
2021-07-09,15162,15784,15078,15616,473287
2021-07-12,15800,16187,15666,15834,472572
2021-07-13,15851,15851,15448,15633,142080
2021-07-14,15666,16002,15582,15667,210141
2021-07-15,15616,15616,15414,15499,113756
2021-07-16,15498,15582,15347,15482,54107
2021-07-19,15481,15716,15330,15482,76765
2021-07-20,15330,15616,15280,15566,78885
2021-07-21,15700,15700,15364,15448,58080
2021-07-22,15498,15515,15280,15314,48941
2021-07-23,15313,15448,15263,15348,51821
2021-07-26,15414,15414,15011,15112,94726
2021-07-27,15062,15179,15011,15079,74558
2021-07-28,15045,15112,14961,14995,66780
2021-07-29,15112,15179,14978,15112,43007
2021-07-30,15112,15347,15045,15180,81103
2021-08-02,15179,15246,14978,15079,40050
2021-08-03,14994,15162,14894,14995,78846
2021-08-04,15062,15062,14743,14793,113855
2021-08-05,14826,14843,14440,14525,216817
2021-08-06,14558,14659,14440,14474,73179
2021-08-09,14507,14558,14256,14290,91185
2021-08-10,14306,14440,14289,14357,37814
2021-08-11,14373,14659,14373,14642,105404
2021-08-12,17228,19008,16623,19008,5292303
2021-08-13,21761,24683,21560,24684,7714784
2021-08-17,27874,29553,24683,24684,7180261
2021-08-18,25422,27034,23541,25154,2788664
2021-08-19,24347,24515,22870,23609,962508
2021-08-20,23172,25388,22836,23340,887473
2021-08-23,23844,24549,22500,22971,609918
2021-08-24,22970,23138,21594,21896,747275
2021-08-25,22030,22400,20485,22400,959890
2021-08-26,27650,29100,27000,29100,338744
2021-08-27,30150,36550,27900,29150,2689400
2021-08-30,27850,28300,25600,25850,570034
2021-08-31,26550,26650,24450,26650,321078
2021-09-01,26900,27000,25850,26500,170649
2021-09-02,26650,32200,25400,28700,1627829
2021-09-03,29000,29600,28100,28250,305948
2021-09-06,27800,29100,26950,27000,200704
2021-09-07,26600,27650,25500,25600,224984
2021-09-08,25600,25600,24200,24400,156219
2021-09-09,24000,24200,22750,23050,172800
2021-09-10,21050,22200,20550,20850,630943
2021-09-13,20550,21100,19850,20150,292584
2021-09-14,19500,19700,18450,19200,1044707
2021-09-15,19050,19500,18750,18950,443853
2021-09-16,19250,21800,19100,20000,2936897
2021-09-17,19900,19900,18900,19000,551592
2021-09-23,18600,19000,18050,18300,501377
2021-09-24,18400,20150,18300,19400,1218453
2021-09-27,20000,20700,19550,19700,727416
2021-09-28,19600,19600,18850,19400,332878
2021-09-29,18650,19100,18650,19050,200521
2021-09-30,18700,19300,18400,18400,355408
2021-10-01,18200,18350,17400,17700,318014
2021-10-05,17300,18300,17200,17800,308412
2021-10-06,18100,18150,16000,16300,389699
2021-10-07,17200,17350,16400,16600,267289
2021-10-08,16650,16950,16250,16300,169770
2021-10-12,16200,16250,15400,15600,194061
2021-10-13,15950,16300,15600,15950,142191
2021-10-14,15950,16800,15950,16800,171778
2021-10-15,16900,17050,16400,17000,176353
2021-10-18,17200,17400,16900,16950,149841
