Date,Open,High,Low,Close,Volume
2021-03-11,18000,23400,15450,21200,21217482
2021-03-12,20600,26500,20300,22100,12484558
2021-03-15,22300,22900,19750,20000,2248700
2021-03-16,19700,20200,17800,18200,1202716
2021-03-17,17850,21700,17100,18900,3394494
2021-03-18,19750,23050,19400,21000,5029059
2021-03-19,20000,21500,18750,18800,2396490
2021-03-22,18400,19300,18150,18250,610996
2021-03-23,18650,19050,18150,18650,783727
2021-03-24,20250,20600,18300,18300,1557329
2021-03-25,17850,18100,17000,17300,429096
2021-03-26,17250,17550,16450,16450,265874
2021-03-29,16500,16600,15350,15400,282820
2021-03-30,15450,15750,15150,15600,210610
2021-03-31,15400,19300,15200,16300,2024244
2021-04-01,16600,19000,16450,16800,1797229
2021-04-02,17150,18400,16850,17200,811371
2021-04-05,17300,18300,17050,17300,485064
2021-04-06,17500,17950,16800,17350,376849
2021-04-07,17600,18500,17350,18200,716252
2021-04-08,18200,18250,17050,17150,313835
2021-04-09,17250,20400,17050,17650,2329635
2021-04-12,17100,18100,17100,17400,636166
2021-04-13,17600,18050,17200,17750,686293
2021-04-14,17800,17900,17150,17150,251119
2021-04-15,17300,18050,17250,17700,665014
2021-04-16,17700,17700,17350,17400,169336
2021-04-19,17550,18150,17500,17650,432558
2021-04-20,17800,18250,17550,17600,295980
2021-04-21,17700,18100,17350,17450,242919
2021-04-22,17550,17700,17300,17300,143460
2021-04-23,17300,17400,16700,16800,157851
2021-04-26,16900,17100,16350,16500,131992
2021-04-27,16550,16550,16300,16300,80232
2021-04-28,16300,16300,15700,15900,117862
2021-04-29,15950,17050,15950,16700,324037
2021-04-30,16700,16800,16250,16600,59235
2021-05-03,16450,17300,16450,16700,221076
2021-05-04,16800,17250,16350,16350,143918
2021-05-06,16350,16350,16000,16100,62614
2021-05-07,16100,16300,16000,16150,34099
2021-05-10,16450,16450,16100,16300,46627
2021-05-11,16100,17200,16100,16600,261060
2021-05-12,17050,17050,16500,16850,88817
2021-05-13,16800,17650,16700,17050,460236
2021-05-14,17250,17550,16900,16950,140966
2021-05-17,17050,17250,16050,16100,145184
2021-05-18,16100,16250,15900,16000,50868
2021-05-20,16050,16050,15700,15950,59615
2021-05-21,16150,16150,15650,15650,44169
2021-05-24,15650,15850,15350,15400,32582
2021-05-25,15550,15550,15200,15300,27992
2021-05-26,15550,15550,15250,15350,35429
2021-05-27,15300,15600,15250,15350,25697
2021-05-28,15400,15500,15200,15300,36074
2021-05-31,15550,15550,15250,15400,26327
2021-06-01,15600,15850,15400,15450,51989
2021-06-02,15500,16550,15300,15700,122276
2021-06-03,15750,16000,15600,15900,54683
2021-06-04,15950,16500,15900,16150,121671
2021-06-07,16550,16550,15900,15950,50927
2021-06-08,16000,16250,15700,16050,46807
2021-06-09,16250,16300,15700,15700,30258
2021-06-10,15700,15750,15500,15500,21919
2021-06-11,15200,15500,14000,14750,123258
2021-06-14,14800,14950,14350,14350,68642
2021-06-15,14450,14500,13950,14050,115178
2021-06-16,14050,14300,14050,14150,51514
2021-06-17,14150,14700,14050,14650,58473
2021-06-18,14650,14700,14400,14500,26625
2021-06-21,14350,14550,14300,14500,20082
2021-06-22,14450,14650,14350,14500,29084
2021-06-23,14500,14700,14400,14550,24181
2021-06-24,14550,14600,14350,14400,26515
2021-06-25,14500,14550,14300,14300,25273
2021-06-28,14400,14400,14100,14300,26752
2021-06-29,14300,14850,14300,14850,121748
2021-06-30,14950,15000,14650,14750,34314
2021-07-01,14650,14900,14450,14600,35184
2021-07-02,14650,14700,14300,14450,24069
2021-07-05,14450,14650,14400,14500,24164
2021-07-06,14600,14650,14450,14500,18116
2021-07-07,14550,14800,14400,14550,41117
2021-07-08,15000,15300,14550,14800,110653
2021-07-09,14750,14750,14400,14400,41083
2021-07-12,14400,14700,14350,14500,14438
2021-07-13,14500,14800,14400,14750,30396
2021-07-14,14650,14750,14500,14600,17761
2021-07-15,14650,14900,14600,14800,24969
2021-07-16,14750,14800,14550,14650,16772
2021-07-19,14550,14750,14400,14700,21093
2021-07-20,14500,14800,14250,14400,30638
2021-07-21,14400,14800,14250,14700,55560
2021-07-22,14900,16350,14750,15850,824622
2021-07-23,16100,16200,15350,15600,207707
2021-07-26,15450,15650,14900,15300,123899
2021-07-27,15500,16800,15400,16300,888536
2021-07-28,16000,18300,15850,17100,1465805
2021-07-29,16800,17200,16350,17100,260342
2021-07-30,17500,17950,16500,16600,543101
2021-08-02,16600,17350,16450,16550,215446
2021-08-03,16550,17000,15750,15800,166308
2021-08-04,15800,17300,15750,17300,438935
2021-08-05,17300,17350,16900,17200,162049
2021-08-06,17200,17650,17000,17100,243872
2021-08-09,17100,17500,16800,16850,150415
2021-08-10,16750,16750,16100,16350,94469
2021-08-11,16350,16700,16100,16400,57904
2021-08-12,16200,17250,16200,16500,188819
2021-08-13,16550,16650,15600,15800,92621
2021-08-17,15850,16700,14500,14800,229911
2021-08-18,14800,15150,14300,14750,46991
2021-08-19,14650,14950,14000,14000,69729
2021-08-20,14050,14200,12800,13200,77549
2021-08-23,13200,13450,12950,13250,44274
2021-08-24,13300,13850,13300,13600,36915
2021-08-25,13700,13750,13300,13450,34870
2021-08-26,13450,13850,13450,13500,25583
2021-08-27,13500,13800,13300,13750,37948
2021-08-30,13900,13950,13650,13800,30536
2021-08-31,13800,15000,13800,14250,225562
2021-09-01,14150,14450,14000,14400,36777
2021-09-02,14450,14950,14250,14300,110568
2021-09-03,14150,14350,13900,13900,37965
2021-09-06,14000,14000,13450,13550,84849
2021-09-07,13550,13650,13450,13600,26059
2021-09-08,13550,13650,13450,13450,25315
2021-09-09,13400,13600,13250,13550,23419
2021-09-10,13500,13550,13250,13500,23764
2021-09-13,13500,13500,13150,13200,28544
2021-09-14,13150,13350,13150,13300,12476
2021-09-15,13300,13400,13250,13300,14597
2021-09-16,13350,13450,13200,13300,11643
2021-09-17,13300,13400,12950,13250,18940
2021-09-23,13150,13150,12900,12950,22720
2021-09-24,12950,13250,12900,13200,16937
2021-09-27,13100,13200,12850,13050,16680
2021-09-28,12950,13050,12600,12600,29392
2021-09-29,12250,12450,12050,12150,32891
2021-09-30,12150,12750,12150,12350,20571
2021-10-01,12250,12450,11450,11500,64270
2021-10-05,11300,11500,10800,10850,57878
2021-10-06,10950,11450,10500,10700,49458
2021-10-07,10700,11250,10700,11100,21593
2021-10-08,11350,11350,10400,11100,28542
2021-10-12,10950,10950,10650,10750,23412
2021-10-13,10750,11100,10650,11050,11805
2021-10-14,11200,11550,11050,11500,20024
2021-10-15,11700,12000,11450,11950,31493
2021-10-18,11950,12150,11750,11900,10308
2021-10-19,11750,12000,11400,11550,34611
2021-10-20,11700,11750,11500,11500,11056
2021-10-21,11500,11800,11300,11400,14916
2021-10-22,11250,11650,11250,11300,8185
2021-10-25,11300,14400,11250,11800,1634887
2021-10-26,11950,12050,11600,11700,128478
2021-10-27,11800,11850,11400,11400,52566
2021-10-28,11400,11500,11200,11250,41921
2021-10-29,11150,11350,11000,11000,35879
2021-11-01,10900,11350,10850,11150,25554
2021-11-02,11150,11550,11100,11300,28437
2021-11-03,11500,11500,11150,11300,9923
2021-11-04,11200,11450,10950,11000,31978
2021-11-05,11000,11000,10750,10750,23436
2021-11-08,10650,10850,10500,10850,14208
2021-11-09,11000,11000,10650,10750,11969
2021-11-10,10800,10800,10400,10500,25934
2021-11-11,10950,10950,10250,10450,20621
