Date,Open,High,Low,Close,Volume
2007-06-27,62200,63200,58300,61200,6559871
2007-06-28,60500,60800,57700,58000,1761128
2007-06-29,58000,59800,56600,56800,1161880
2007-07-02,56500,57500,56200,57000,605419
2007-07-03,57600,59800,57000,59700,1067955
2007-07-04,60400,60500,59300,59500,606237
2007-07-05,58700,59200,58200,58800,570849
2007-07-06,59000,59300,57700,57700,508565
2007-07-09,57500,58400,57500,58000,451870
2007-07-10,58300,59000,58000,58100,529867
2007-07-11,58100,58800,58000,58800,391310
2007-07-12,58800,62000,58500,62000,1260237
2007-07-13,63000,65500,61300,65000,2134277
2007-07-16,65400,68100,64000,66400,1212094
2007-07-18,66400,68100,65600,66900,1038298
2007-07-19,66900,68000,66200,68000,523756
2007-07-20,68200,68400,66700,67900,484453
2007-07-23,67800,67900,66200,67700,378322
2007-07-24,67300,67600,66000,66200,402467
2007-07-25,65200,66200,64100,64700,590451
2007-07-26,65000,65900,62800,63600,489630
2007-07-27,61500,62500,60100,61700,504882
2007-07-30,60800,62100,60300,61700,318672
2007-07-31,62200,66900,62000,66900,589377
2007-08-01,65600,66000,62600,63100,359886
2007-08-02,64200,64500,60500,62300,409772
2007-08-03,63500,63600,61400,61800,330542
2007-08-06,60300,62800,60300,61700,263706
2007-08-07,62500,62700,61100,61400,238743
2007-08-08,61800,62900,61300,62800,433847
2007-08-09,63600,63600,61500,61900,239450
2007-08-10,60600,61000,59100,59700,295459
2007-08-13,59800,59900,57800,58600,290282
2007-08-14,58600,59500,57500,58400,198740
2007-08-16,55900,55900,53000,54200,636446
2007-08-17,54500,55000,52000,52000,419749
2007-08-20,53500,55600,53300,55000,222529
2007-08-21,55300,55400,53800,53900,196233
2007-08-22,54300,55100,53900,55100,215969
2007-08-23,56300,57400,55900,57200,222411
2007-08-24,56900,57200,55800,57200,99427
2007-08-27,58200,58500,55400,56000,189409
2007-08-28,55400,56300,54800,55600,150396
2007-08-29,53400,55200,53200,55000,377098
2007-08-30,55500,57500,55500,57300,346507
2007-08-31,56800,57800,56700,57600,206368
2007-09-03,57800,58500,57500,58500,148795
2007-09-04,58300,59200,57200,57200,104149
2007-09-05,57800,57900,57100,57400,162479
2007-09-06,56900,57200,56000,56400,149504
2007-09-07,56700,56900,55700,56000,157393
2007-09-10,54800,55100,54000,54500,183951
2007-09-11,54700,54900,53100,53800,243300
2007-09-12,54100,54400,53600,53700,105313
2007-09-13,53300,54300,53100,54300,179978
2007-09-14,54700,54700,53300,53300,258121
2007-09-17,53600,55200,53500,55200,205565
2007-09-18,55400,56100,54500,55500,172476
2007-09-19,56600,57600,56200,57000,384351
2007-09-20,56000,56400,54200,54400,357752
2007-09-21,54500,56200,54200,56200,219063
2007-09-27,56800,57000,55600,56700,254613
2007-09-28,57100,57200,55900,56500,145710
2007-10-01,56800,56800,55100,55500,224051
2007-10-02,56400,57900,56100,57200,542217
2007-10-04,57000,58700,56800,58700,562953
2007-10-05,58700,60600,58700,60600,604122
2007-10-08,61100,61300,59900,60400,531584
2007-10-09,60500,60500,59400,60000,271325
2007-10-10,60700,61000,60200,60800,300761
2007-10-11,60800,62200,60100,61500,492726
2007-10-12,61000,61300,59700,60100,556076
2007-10-15,61200,64700,61000,64000,1058335
2007-10-16,63500,64600,61000,61000,583676
2007-10-17,61700,62500,60100,61800,519807
2007-10-18,61900,65200,61900,64900,794433
2007-10-19,65800,66200,63400,63600,841072
2007-10-22,59100,62400,59000,62000,392732
2007-10-23,63000,64400,62300,63200,352945
2007-10-24,63700,63800,60600,60600,397837
2007-10-25,61900,62000,58800,60600,369152
2007-10-26,60800,62300,59300,61000,349374
2007-10-29,62000,65000,61300,64500,782485
2007-10-30,64800,64900,62500,63600,463194
2007-10-31,63500,64400,61800,62100,465377
2007-11-01,61900,62100,59100,59100,752732
2007-11-02,57700,58600,57000,57700,450280
2007-11-05,57800,60100,57400,59700,299756
2007-11-06,59700,61200,59600,61000,306581
2007-11-07,61400,61900,58900,59700,314222
2007-11-08,59000,59100,57500,57500,236682
2007-11-09,57500,58100,54600,56100,505775
2007-11-12,55200,55600,53900,54500,228427
2007-11-13,54800,55900,54300,55900,135130
2007-11-14,57200,57200,54800,55000,181993
2007-11-15,54600,55700,54500,55700,155699
2007-11-16,55500,55700,54600,55300,107090
2007-11-19,55100,56000,54800,54800,114382
2007-11-20,54300,55800,54000,55000,554283
2007-11-21,54800,55300,52800,53000,359830
2007-11-22,52100,52700,50700,51700,269001
2007-11-23,51200,52200,50500,50500,306371
2007-11-26,51000,54000,50000,54000,395285
2007-11-27,52200,53200,49950,52900,364849
2007-11-28,53400,53600,52500,52900,190576
2007-11-29,53600,54600,53400,54400,652677
2007-11-30,54400,56500,53900,56500,1020332
2007-12-03,56600,56600,54900,55600,207843
2007-12-04,55900,55900,52000,52300,384936
2007-12-05,52400,52800,49500,50700,831949
2007-12-06,51400,51800,50800,51500,359637
2007-12-07,51800,53100,50600,52500,324952
2007-12-10,52100,52400,51100,51700,172074
2007-12-11,51600,52500,51100,51900,139205
2007-12-12,51100,51900,51100,51800,87581
2007-12-13,52200,52200,51500,52000,135804
2007-12-14,52200,52300,51400,51800,89567
2007-12-17,51500,51800,50400,50500,151541
2007-12-18,50000,50800,49800,50500,129661
2007-12-20,51200,51300,50000,50100,177631
2007-12-21,50400,50600,49750,50400,177894
2007-12-24,50800,51200,50600,51000,183337
2007-12-26,51300,51400,50700,50700,169039
2007-12-27,50700,50900,50200,50900,240505
2007-12-28,50300,50900,50000,50300,155276
2008-01-02,50200,50200,49450,49500,192547
2008-01-03,49000,49000,48250,48600,198764
2008-01-04,48400,48600,47000,47000,337184
2008-01-07,45150,45800,44500,44650,381145
2008-01-08,44600,45400,43650,44500,312613
2008-01-09,43700,44450,43550,44350,160373
2008-01-10,44900,46850,44600,46500,311058
2008-01-11,46900,48400,46700,47500,372786
2008-01-14,46650,47400,46350,46850,142969
2008-01-15,46900,47100,46200,46600,135637
2008-01-16,45500,47100,45000,46600,136341
2008-01-17,46550,48900,46500,48900,156991
2008-01-18,48350,50700,47700,50000,307554
2008-01-21,49700,50000,49000,49600,151327
2008-01-22,48500,49000,46600,48000,151476
2008-01-23,49000,49200,47800,48850,179299
2008-01-24,49000,49500,48550,48950,124179
2008-01-25,48950,48950,47900,48400,149702
2008-01-28,47900,48000,46800,46800,77946
2008-01-29,47000,47500,45900,46000,113089
2008-01-30,45000,45750,42550,42650,343569
2008-01-31,42550,47100,42550,46000,403752
2008-02-01,46550,47900,46400,47900,233512
2008-02-04,47900,49250,47350,48950,196057
2008-02-05,49000,50300,48900,48900,190456
2008-02-11,47000,49350,47000,48900,175474
2008-02-12,48500,49600,48500,49000,116839
2008-02-13,49900,49900,49000,49400,205218
2008-02-14,49800,49800,49000,49100,70740
2008-02-15,48400,49450,48250,49100,91721
2008-02-18,49000,49450,48250,48600,55342
2008-02-19,48650,49300,48550,49300,140354
2008-02-20,49000,49450,48600,49400,106883
2008-02-21,49700,50700,49700,50400,133912
2008-02-22,49950,50300,49300,50000,95709
2008-02-25,50300,50600,49550,49600,74195
2008-02-26,49150,50100,48400,49400,72187
2008-02-27,49900,51000,49600,49600,118937
2008-02-28,49900,50700,49800,50700,109124
2008-02-29,50500,50700,50200,50600,102021
2008-03-03,49150,50000,49000,49600,79661
2008-03-04,49100,49600,47700,48800,126670
2008-03-05,48800,48800,47700,48200,86386
2008-03-06,48000,49000,47200,47350,130951
