Date,Open,High,Low,Close,Volume
1998-09-28,27000,27000,27000,27000,20.0
1998-09-29,26500,26500,26400,26400,90.0
1998-09-30,25000,26400,25000,26400,400.0
1998-10-01,26000,26000,25500,26000,250.0
1998-10-02,26000,26000,26000,26000,50.0
1998-10-08,25500,26000,25500,26000,190.0
1998-10-09,25100,25900,25100,25900,160.0
1998-10-10,26500,26500,26000,26000,390.0
1998-10-12,27000,28000,27000,28000,510.0
1998-10-13,28500,31200,28500,30000,730.0
1998-10-14,29800,29800,29500,29500,100.0
1998-10-15,26500,30000,26500,30000,80.0
1998-10-16,30000,30000,30000,30000,280.0
1998-10-17,28800,30000,28800,30000,150.0
1998-10-19,29000,29000,28500,29000,320.0
1998-10-20,29000,29000,28200,28200,120.0
1998-10-21,29000,29000,29000,29000,200.0
1998-10-22,29000,29800,29000,29800,110.0
1998-10-23,26300,29500,26300,29500,70.0
1998-10-24,28950,28950,28950,28950,10.0
1998-10-26,29000,29000,28500,29000,120.0
1998-10-27,28500,28500,28000,28000,250.0
1998-10-29,29000,29000,29000,29000,10.0
1998-10-30,28000,28000,27000,27000,290.0
1998-11-02,29500,29500,27000,27000,60.0
1998-11-03,27500,27500,27000,27000,800.0
1998-11-04,24000,27000,24000,27000,60.0
1998-11-05,27000,28000,26000,28000,420.0
1998-11-06,28000,28000,27000,28000,200.0
1998-11-07,26000,26000,26000,26000,350.0
1998-11-09,28500,28500,28500,28500,10.0
1998-11-10,27000,27000,25800,26500,290.0
1998-11-11,26000,26000,26000,26000,10.0
1998-11-12,26100,26100,26100,26100,10.0
1998-11-13,27000,28000,27000,28000,60.0
1998-11-14,29500,29500,29500,29500,100.0
1998-11-16,29000,30000,29000,29500,1170.0
1998-11-17,29500,29500,29500,29500,90.0
1998-11-18,29500,30900,28500,30900,550.0
1998-11-19,31500,31900,31500,31500,550.0
1998-11-20,32000,33000,32000,32500,200.0
1998-11-23,33000,33000,30000,32000,590.0
1998-11-24,31500,33000,31000,33000,660.0
1998-11-25,33500,35800,33000,35800,540.0
1998-11-26,39500,39500,32500,37800,90.0
1998-11-27,34000,37500,33300,37500,120.0
1998-11-28,33000,33000,33000,33000,10.0
1998-11-30,34000,36000,34000,36000,80.0
1998-12-01,31800,33500,31700,32000,330.0
1998-12-02,32000,35700,32000,32500,430.0
1998-12-03,33500,33500,33000,33000,160.0
1998-12-04,33000,33000,33000,33000,140.0
1998-12-05,33300,36950,33300,36950,430.0
1998-12-07,38000,38000,35100,35500,330.0
1998-12-08,35700,35700,35700,35700,20.0
1998-12-09,36000,36000,36000,36000,50220.0
1998-12-10,40900,41400,36300,41400,820.0
1998-12-11,39100,40400,39000,40400,13100.0
1998-12-14,41000,41000,40000,40000,220.0
1998-12-15,34000,46000,34000,43900,70570.0
1998-12-16,41900,41900,37350,37500,380.0
1998-12-17,32000,34100,32000,32500,270.0
1998-12-18,35000,37350,33300,33500,2060.0
1998-12-21,34200,35000,34200,35000,210.0
1998-12-22,35500,35500,31000,31000,230.0
1998-12-23,31550,35650,31550,35600,326110.0
1998-12-24,38000,40500,38000,40500,530.0
1998-12-28,37000,45000,37000,45000,23160.0
1999-01-04,45000,50000,45000,46000,300.0
1999-01-06,41500,41500,41500,41500,10.0
1999-01-07,41500,41500,41500,41500,70.0
1999-01-11,44000,44000,36500,36500,90.0
1999-01-12,40000,41950,40000,41950,280.0
1999-01-13,39500,39500,39500,39500,60.0
1999-01-14,38000,39000,38000,39000,1250.0
1999-01-18,39700,39800,39700,39800,130.0
1999-01-19,39800,40000,39500,40000,1620.0
1999-01-20,40500,40500,40500,40500,1110.0
1999-01-21,38500,38500,38500,38500,20.0
1999-01-22,44250,44250,44250,44250,10.0
1999-01-25,37700,37700,37700,37700,10.0
1999-01-27,35000,35000,35000,35000,180.0
1999-01-28,39500,39500,39500,39500,10.0
1999-01-29,40500,40500,40500,40500,1710.0
1999-02-03,35000,36500,35000,36500,700.0
1999-02-04,36000,36000,36000,36000,800.0
1999-02-05,32500,32500,32500,32500,30.0
1999-02-10,36000,36000,36000,36000,20.0
1999-02-18,35000,36000,35000,36000,120.0
1999-02-19,35500,35500,35500,35500,20.0
1999-02-25,36900,36900,36900,36900,10.0
1999-02-26,38000,38000,31500,37500,100.0
1999-03-03,32300,36000,32300,36000,60.0
1999-03-04,32100,37000,32100,37000,30.0
1999-03-05,33000,34950,33000,34950,810.0
1999-03-08,40150,40150,39000,40150,470.0
1999-03-09,42000,42600,41500,41500,960.0
1999-03-10,40000,40000,38000,40000,480.0
1999-03-11,39500,39500,39400,39400,690.0
1999-03-12,39000,40000,39000,39000,2020.0
1999-03-15,39000,41000,38000,38000,890.0
1999-03-16,41000,41000,38000,38000,30.0
1999-03-17,38100,38100,38100,38100,30.0
1999-03-18,38500,38500,35000,35000,340.0
1999-03-19,37500,40250,37500,37600,1400.0
1999-03-22,38000,41000,38000,39000,260.0
1999-03-23,40000,40000,39000,39000,160.0
1999-03-24,40000,41000,40000,40400,1260.0
